"id","title","amount","department","transaction","views","city","province","date","week_day"
81237,"I Paid Rs. 1 to Municipal Services in Madurai.",1,"Municipal Services","Birth Certificate",19,"Madurai","Tamil Nadu","2015-10-30","Friday"
81236,"I Paid Rs. 777 to Municipal Services in Thane.",777,"Municipal Services","Birth Certificate",10,"Thane","Tamil Nadu","2015-10-30","Friday"
81235,"I Paid Rs. 1 to Municipal Services in Mumbai.",1,"Municipal Services","Birth Certificate",11,"Mumbai","Tamil Nadu","2015-10-30","Friday"
81229,"I Paid Rs. 100 to Passport in Pune.",100,"Passport","Passport Delivery",33,"Pune","Tamil Nadu","2015-10-30","Friday"
81222,"I Paid Rs. 65 to Others in Amritsar.",65,"Others","Others",30,"Amritsar","Tamil Nadu","2015-10-30","Friday"
81218,"I Paid Rs. 5000 to Municipal Services in Nashik.",5000,"Municipal Services","Birth Certificate",22,"Nashik","Tamil Nadu","2015-10-30","Friday"
81216,"I Paid Rs. 1995 to Municipal Services in Mangalore.",1995,"Municipal Services","Birth Certificate",23,"Mangalore","Tamil Nadu","2015-10-30","Friday"
81215,"I Paid Rs. 200 to Municipal Services in Abhayapuri.",200,"Municipal Services","Birth Certificate",22,"Abhayapuri","Tamil Nadu","2015-10-30","Friday"
81209,"I Paid Rs. 2500000000 to Others in Achhnera.",2.5e+09,"Others","Others",23,"Achhnera","Tamil Nadu","2015-10-30","Friday"
81204,"I Paid Rs. 272165 to Others in Gonda.",272165,"Others","Others",24,"Gonda","Tamil Nadu","2015-10-30","Friday"
81195,"I Paid Rs. 33 to Commercial Tax, Sales Tax, VAT in Abohar.",33,"Commercial Tax, Sales Tax, VAT","C Form",26,"Abohar","Punjab","2015-10-30","Friday"
81192,"I Paid Rs. 10 to Others in Ahmedabad.",10,"Others","Others",31,"Ahmedabad","Punjab","2015-10-30","Friday"
81191,"I Paid Rs. 10 to Municipal Services in Jabalpur.",10,"Municipal Services","Birth Certificate",29,"Jabalpur","Punjab","2015-10-30","Friday"
81190,"I Paid Rs. 500 to Income Tax in Hingoli.",500,"Income Tax","New PAN Card",27,"Hingoli","Punjab","2015-10-30","Friday"
81149,"I Paid Rs. 800 to Municipal Services in Achhnera.",800,"Municipal Services","Birth Certificate",49,"Achhnera","Punjab","2015-10-30","Friday"
81146,"I Paid Rs. 16000 to Municipal Services in Mumbai.",16000,"Municipal Services","Birth Certificate",59,"Mumbai","Punjab","2015-10-29","Thursday"
81143,"I Paid Rs. 123 to Transport in New Delhi.",123,"Transport","New Domestic Driving License",59,"New","Punjab","2015-10-29","Thursday"
81142,"I Paid Rs. 5000 to Municipal Services in Abhayapuri.",5000,"Municipal Services","Birth Certificate",51,"Abhayapuri","Punjab","2015-10-29","Thursday"
81137,"I Paid Rs. 1000 to Municipal Services in Pimpri-Chinchwad.",1000,"Municipal Services","Birth Certificate",48,"Pimpri","Punjab","2015-10-29","Thursday"
81136,"I Paid Rs. 500 to Others in Ambattur.",500,"Others","Others",51,"Ambattur","Punjab","2015-10-29","Thursday"
81127,"I Paid Rs. 2000 to Others in Cooch Behar.",2000,"Others","Others",55,"Cooch","Behar West Bengal","2015-10-29","Thursday"
81121,"I Paid Rs. 50 to Police in Surat.",50,"Police","Traffic Violations",62,"Surat","Behar West Bengal","2015-10-29","Thursday"
81076,"I paid a bribe of Rs 5000 for Marriage  Registration",5000,"Stamps and Registration","Marriage Registration",131,"Chennai","Behar West Bengal","2015-10-29","Thursday"
81062,"I Paid Rs. 123456 to Others in Katihar.",123456,"Others","Others",57,"Katihar","Behar West Bengal","2015-10-29","Thursday"
81011,"I Paid Rs. 8 to Income Tax in Adilabad.",8,"Income Tax","New PAN Card",77,"Adilabad","Behar West Bengal","2015-10-29","Thursday"
81007,"Mr Harsh Chaturvedi, Inspector of Factory Act 1948, Moti Mahal Gwalior",5000,"Labour","Inspection of Office or Factories",78,"Gwalior","Behar West Bengal","2015-10-28","Wednesday"
80978,"I Paid Rs. 1000 to Municipal Services in Thiruvananthapuram.",1000,"Municipal Services","Birth Certificate",90,"Thiruvananthapuram","Behar West Bengal","2015-10-28","Wednesday"
80958,"I paid 3000/- for getting DOB certificate",3000,"Municipal Services","Non Availability Certificate",98,"Visakhapatnam","Behar West Bengal","2015-10-28","Wednesday"
80957,"I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Cuddapah.",10,"Commercial Tax, Sales Tax, VAT","C Form",91,"Cuddapah","Behar West Bengal","2015-10-28","Wednesday"
80954,"I Paid Rs. 10000 to Others in Guwahati.",10000,"Others","Others",86,"Guwahati","Behar West Bengal","2015-10-28","Wednesday"
80932,"I Paid Rs. 1200 to Others in Sambalpur.",1200,"Others","Others",81,"Sambalpur","Orissa","2015-10-28","Wednesday"
80896,"I Paid Rs. 1000 to Customs, Excise and Service Tax in Kochi.",1000,"Customs, Excise and Service Tax","Customs Check and Clearance",98,"Kochi","Orissa","2015-10-28","Wednesday"
80875,"I Paid Rs. 5000 to Municipal Services in Amarpur.",5000,"Municipal Services","Birth Certificate",93,"Amarpur","Orissa","2015-10-28","Wednesday"
80865,"I Paid Rs. 34 to Commercial Tax, Sales Tax, VAT in Achhnera.",34,"Commercial Tax, Sales Tax, VAT","C Form",108,"Achhnera","Orissa","2015-10-27","Tuesday"
80855,"I Paid Rs. 1000 to Police in Pune.",1000,"Police","Police Harassment",120,"Pune","Orissa","2015-10-27","Tuesday"
80851,"I Paid Rs. 5000 to Municipal Services in Achhnera.",5000,"Municipal Services","Birth Certificate",101,"Achhnera","Orissa","2015-10-27","Tuesday"
80844,"I Paid Rs. 1111 to Others in Goalpara.",1111,"Others","Others",93,"Goalpara","Orissa","2015-10-27","Tuesday"
80819,"I Paid Rs. 23 to Municipal Services in Siliguri.",23,"Municipal Services","Birth Certificate",87,"Siliguri","Orissa","2015-10-27","Tuesday"
80816,"I Paid Rs. 50 to Customs, Excise and Service Tax in Mumbai.",50,"Customs, Excise and Service Tax","Customs Check and Clearance",95,"Mumbai","Orissa","2015-10-27","Tuesday"
80798,"I Paid Rs. 200 to Commercial Tax, Sales Tax, VAT in Shahabad, Hardoi.",200,"Commercial Tax, Sales Tax, VAT","C Form",95,"Shahabad","Orissa","2015-10-27","Tuesday"
80785,"I Paid Rs. 100 to Municipal Services in Abohar.",100,"Municipal Services","Birth Certificate",98,"Abohar","Punjab","2015-10-27","Tuesday"
80773,"I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Jaipur.",10,"Commercial Tax, Sales Tax, VAT","C Form",76,"Jaipur","Punjab","2015-10-27","Tuesday"
80765,"Open bribe demanded by officers in shiggaon taluk, haveri district - property Registrar office",10000,"Municipal Services","Registration of Land",161,"Haveri","Punjab","2015-10-27","Tuesday"
80756,"I Paid Rs. 100 to Passport in Gwalior.",100,"Passport","Passport Delivery",96,"Gwalior","Punjab","2015-10-27","Tuesday"
80730,"I Paid Rs. 5000 to Municipal Services in Achhnera.",5000,"Municipal Services","Birth Certificate",108,"Achhnera","Punjab","2015-10-27","Tuesday"
80716,"I Paid Rs. 10000 to Municipal Services in Mumbai.",10000,"Municipal Services","Birth Certificate",105,"Mumbai","Punjab","2015-10-26","Monday"
80715,"Corrupt unashamed officers in Madurai DEO Office",2500,"Education","School or College Related Activities",108,"Madurai","Punjab","2015-10-26","Monday"
80713,"I Paid Rs. 400054 to Municipal Services in Mumbai.",400054,"Municipal Services","Birth Certificate",101,"Mumbai","Punjab","2015-10-26","Monday"
80706,"I Paid Rs. 46 to Stamps and Registration in New Delhi.",46,"Stamps and Registration","Marriage Certificate",127,"New","Punjab","2015-10-26","Monday"
80702,"I Paid Rs. 18 to Others in Tezpur.",18,"Others","Others",98,"Tezpur","Punjab","2015-10-26","Monday"
80700,"I Paid Rs. 10 to Municipal Services in Mumbai.",10,"Municipal Services","Birth Certificate",89,"Mumbai","Maharashtra","2015-10-26","Monday"
80699,"I Paid Rs. 3500 to Transport in Bhubaneswar.",3500,"Transport","Registration of Vehicle",118,"Bhubaneswar","Maharashtra","2015-10-26","Monday"
80694,"I Paid Rs. 123 to Police in Etawah.",123,"Police","Police Harassment",98,"Etawah","Maharashtra","2015-10-26","Monday"
80692,"I Paid Rs. 200000 to Municipal Services in New Delhi.",2e+05,"Municipal Services","Birth Certificate",73,"New","Maharashtra","2015-10-26","Monday"
80686,"I Paid Rs. 100 to Police in Bangalore.",100,"Police","Police Harassment",92,"Bangalore","Maharashtra","2015-10-26","Monday"
80669,"I Paid Rs. 625000 to Police in Madurai.",625000,"Police","Traffic Violations",109,"Madurai","Maharashtra","2015-10-26","Monday"
80646,"I Paid Rs. 1 to Others in Indore.",1,"Others","Others",73,"Indore","Maharashtra","2015-10-26","Monday"
80636,"I Paid Rs. 15000 to Municipal Services in Anandnagaar.",15000,"Municipal Services","Birth Certificate",78,"Anandnagaar","Maharashtra","2015-10-26","Monday"
80619,"I Paid Rs. 10 to Municipal Services in Kolkata.",10,"Municipal Services","Birth Certificate",71,"Kolkata","Maharashtra","2015-10-26","Monday"
80615,"I Paid Rs. 23 to Municipal Services in Gulbarga.",23,"Municipal Services","Birth Certificate",66,"Gulbarga","Maharashtra","2015-10-26","Monday"
80608,"I Paid Rs. 20 to Railways in Abhayapuri.",20,"Railways","Transport of Goods",74,"Abhayapuri","Assam","2015-10-26","Monday"
80597,"I Paid Rs. 13 to Customs, Excise and Service Tax in Abhayapuri.",13,"Customs, Excise and Service Tax","Customs Check and Clearance",78,"Abhayapuri","Assam","2015-10-26","Monday"
80594,"I Paid Rs. 10 to Municipal Services in Gurgaon.",10,"Municipal Services","Birth Certificate",64,"Gurgaon","Assam","2015-10-26","Monday"
80589,"I Paid Rs. 300 to Police in Bangalore.",300,"Police","Traffic Violations",119,"Bangalore","Assam","2015-10-26","Monday"
80581,"I Paid Rs. 7000 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",7000,"Commercial Tax, Sales Tax, VAT","C Form",111,"Abhayapuri","Assam","2015-10-25","Sunday"
80570,"Bribe given to issue RTC of the land",35000,"Revenue","Urban Land Ceiling Clearance Certificate",103,"Chikmagalur","Assam","2015-10-25","Sunday"
80569,"The Sub Registrar collected INR 35000 before registration of the land",35000,"Stamps and Registration","Land Registration",377,"Chikmagalur","Assam","2015-10-25","Sunday"
80539,"I paid a bribe to a police officer",250,"Passport","Police Verification for Passport",197,"New","Assam","2015-10-25","Sunday"
80515,"I Paid Rs. 120 to Municipal Services in Pune.",120,"Municipal Services","Birth Certificate",131,"Pune","Assam","2015-10-25","Sunday"
80499,"Bribe paid to Customs Officials at Hyderabad International Airport",2000,"Airports","Immigration Check",155,"Hyderabad","Assam","2015-10-25","Sunday"
80496,"I Paid Rs. 100 to Municipal Services in Hyderabad.",100,"Municipal Services","Birth Certificate",161,"Hyderabad","Telangana","2015-10-25","Sunday"
80491,"I Paid Rs. 25 to Municipal Services in Chennai.",25,"Municipal Services","Birth Certificate",172,"Chennai","Telangana","2015-10-25","Sunday"
