"id","title","amount","department","transaction","views","city","province","date"
82109,"I paid 1300 for a license and didn't even get it",1300,"Transport","Driving licence Process",7,"Bangalore","Karnataka",2015-11-06
82104,"I Paid Rs. 1 to Municipal Services in Ratlam.",1,"Municipal Services","Birth Certificate",8,"Ratlam","Karnataka",2015-11-06
82039,"I Paid Rs. 2 to Passport in New Delhi.",2,"Passport","Passport Delivery",69,"New","Karnataka",2015-11-05
82028,"I Paid Rs. 350 to Municipal Services in Mandla.",350,"Municipal Services","Birth Certificate",51,"Mandla","Karnataka",2015-11-05
82027,"I Paid Rs. 1 to Municipal Services in Mathura.",1,"Municipal Services","Birth Certificate",43,"Mathura","Karnataka",2015-11-05
82018,"I Paid Rs. 439 to Income Tax in Chamarajanagar.",439,"Income Tax","New PAN Card",81,"Chamarajanagar","Karnataka",2015-11-05
82017,"I Paid Rs. 500 to Others in Hyderabad.",500,"Others","Others",56,"Hyderabad","Karnataka",2015-11-05
82009,"I Paid Rs. 1 to Municipal Services in Chennai.",1,"Municipal Services","Birth Certificate",58,"Chennai","Karnataka",2015-11-05
82002,"I Paid Rs. 100 to Police in Patiala.",100,"Police","Filing FIR",68,"Patiala","Karnataka",2015-11-05
81999,"I Paid Rs. 100 to Income Tax in New Delhi.",100,"Income Tax","New PAN Card",51,"New","Karnataka",2015-11-05
81997,"I Paid Rs. 1 to Others in Hoshiarpur.",1,"Others","Others",61,"Hoshiarpur","Punjab",2015-11-05
81995,"I Paid Rs. 1212522 to Municipal Services in Abohar.",1212522,"Municipal Services","Birth Certificate",62,"Abohar","Punjab",2015-11-05
81994,"I Paid Rs. 66666666 to Income Tax in Arambagh.",66666666,"Income Tax","New PAN Card",41,"Arambagh","Punjab",2015-11-05
81992,"I Paid Rs. 11 to Others in Tamluk.",11,"Others","Others",51,"Tamluk","Punjab",2015-11-05
81983,"I Paid Rs. 20 to Others in Jalna.",20,"Others","Others",49,"Jalna","Punjab",2015-11-05
81974,"Bribe for getting certificate for  shop estabilshment certificate",1000,"Municipal Services","Shop Act License",54,"Mumbai","Punjab",2015-11-05
81972,"I Paid Rs. 500 to Stamps and Registration in Pune.",500,"Stamps and Registration","Marriage Certificate",82,"Pune","Punjab",2015-11-05
81969,"I Paid Rs. 20 to Police in Nashik.",20,"Police","Traffic Violations",45,"Nashik","Punjab",2015-11-05
81968,"I Paid Rs. 56 to Municipal Services in Ahmedabad.",56,"Municipal Services","Birth Certificate",28,"Ahmedabad","Punjab",2015-11-05
81967,"I Paid Rs. 100 to Municipal Services in Abohar.",100,"Municipal Services","Birth Certificate",24,"Abohar","Punjab",2015-11-05
81957,"I Paid Rs. 20000 to Others in Coimbatore.",20000,"Others","Others",51,"Coimbatore","Tamil Nadu",2015-11-05
81955,"I Paid Rs. 1973 to Municipal Services in Viluppuram.",1973,"Municipal Services","Birth Certificate",28,"Viluppuram","Tamil Nadu",2015-11-05
81954,"I Paid Rs. 1200 to Municipal Services in Abhayapuri.",1200,"Municipal Services","Birth Certificate",27,"Abhayapuri","Tamil Nadu",2015-11-05
81929,"I Paid Rs. 20 to Municipal Services in Amravati.",20,"Municipal Services","Birth Certificate",32,"Amravati","Tamil Nadu",2015-11-05
81919,"I Paid Rs. 2 to Municipal Services in Trichur.",2,"Municipal Services","Birth Certificate",30,"Trichur","Tamil Nadu",2015-11-05
81918,"I Paid Rs. 100 to Income Tax in Hyderabad.",100,"Income Tax","New PAN Card",30,"Hyderabad","Tamil Nadu",2015-11-05
81880,"I Paid Rs. 789 to Stamps and Registration in Abhayapuri.",789,"Stamps and Registration","Marriage Certificate",88,"Abhayapuri","Tamil Nadu",2015-11-04
81876,"I Paid Rs. 100 to Stamps and Registration in Ahmadnagar.",100,"Stamps and Registration","Registration of Property",59,"Ahmadnagar","Tamil Nadu",2015-11-04
81871,"I Paid Rs. 10000 to Others in Kalahandi.",10000,"Others","Others",72,"Kalahandi","Tamil Nadu",2015-11-04
81866,"I Paid Rs. 20000 to Others in Ahmedabad.",20000,"Others","Others",60,"Ahmedabad","Tamil Nadu",2015-11-04
81865,"I Paid Rs. 2000 to Police in Daudnagar.",2000,"Police","Traffic Violations",88,"Daudnagar","Bihar",2015-11-04
81864,"I Paid Rs. 20 to Municipal Services in Thanjavur.",20,"Municipal Services","Birth Certificate",61,"Thanjavur","Bihar",2015-11-04
81855,"I Paid Rs. 5000 to Municipal Services in Bhandara.",5000,"Municipal Services","Birth Certificate",65,"Bhandara","Bihar",2015-11-04
81852,"I Paid Rs. 2000 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",2000,"Commercial Tax, Sales Tax, VAT","C Form",62,"Abhayapuri","Bihar",2015-11-04
